templateId,familyId,family,patternId,pattern,rarity,effect,drawback,scaling,creatorPower,naturalAcquisition
MOD_WF02_GREAT_WEAPON_MYSTIC,WF02_GREAT_WEAPON,Great Weapons,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_EXPEDITION,WF02_GREAT_WEAPON,Great Weapons,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_RESCUE,WF02_GREAT_WEAPON,Great Weapons,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_FORTUNE,WF02_GREAT_WEAPON,Great Weapons,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_TOWERBORN,WF02_GREAT_WEAPON,Great Weapons,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_BOSSBREAKER,WF02_GREAT_WEAPON,Great Weapons,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_CHRONICLE,WF02_GREAT_WEAPON,Great Weapons,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_BALANCED,WF03_AXE,Axes,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_VANGUARD,WF03_AXE,Axes,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_WARDEN,WF03_AXE,Axes,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_MYSTIC,WF03_AXE,Axes,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_EXPEDITION,WF03_AXE,Axes,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_RESCUE,WF03_AXE,Axes,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_FORTUNE,WF03_AXE,Axes,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_TOWERBORN,WF03_AXE,Axes,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_BOSSBREAKER,WF03_AXE,Axes,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF03_AXE_CHRONICLE,WF03_AXE,Axes,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_BALANCED,WF04_SPEAR_POLEARM,Spears and Polearms,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_VANGUARD,WF04_SPEAR_POLEARM,Spears and Polearms,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_WARDEN,WF04_SPEAR_POLEARM,Spears and Polearms,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_MYSTIC,WF04_SPEAR_POLEARM,Spears and Polearms,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_EXPEDITION,WF04_SPEAR_POLEARM,Spears and Polearms,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_RESCUE,WF04_SPEAR_POLEARM,Spears and Polearms,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_FORTUNE,WF04_SPEAR_POLEARM,Spears and Polearms,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_TOWERBORN,WF04_SPEAR_POLEARM,Spears and Polearms,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_BOSSBREAKER,WF04_SPEAR_POLEARM,Spears and Polearms,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF04_SPEAR_POLEARM_CHRONICLE,WF04_SPEAR_POLEARM,Spears and Polearms,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_BALANCED,WF05_BOW,Bows,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_VANGUARD,WF05_BOW,Bows,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_WARDEN,WF05_BOW,Bows,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_MYSTIC,WF05_BOW,Bows,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_EXPEDITION,WF05_BOW,Bows,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_RESCUE,WF05_BOW,Bows,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_FORTUNE,WF05_BOW,Bows,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_TOWERBORN,WF05_BOW,Bows,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_BOSSBREAKER,WF05_BOW,Bows,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF05_BOW_CHRONICLE,WF05_BOW,Bows,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_BALANCED,WF06_DAGGER,Daggers,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_VANGUARD,WF06_DAGGER,Daggers,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_WARDEN,WF06_DAGGER,Daggers,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_MYSTIC,WF06_DAGGER,Daggers,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_EXPEDITION,WF06_DAGGER,Daggers,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_RESCUE,WF06_DAGGER,Daggers,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_FORTUNE,WF06_DAGGER,Daggers,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_TOWERBORN,WF06_DAGGER,Daggers,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_BOSSBREAKER,WF06_DAGGER,Daggers,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF06_DAGGER_CHRONICLE,WF06_DAGGER,Daggers,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_BALANCED,WF07_SHIELD,Shields,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_VANGUARD,WF07_SHIELD,Shields,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_WARDEN,WF07_SHIELD,Shields,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_MYSTIC,WF07_SHIELD,Shields,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_EXPEDITION,WF07_SHIELD,Shields,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_RESCUE,WF07_SHIELD,Shields,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_FORTUNE,WF07_SHIELD,Shields,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_TOWERBORN,WF07_SHIELD,Shields,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_BOSSBREAKER,WF07_SHIELD,Shields,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF07_SHIELD_CHRONICLE,WF07_SHIELD,Shields,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_BALANCED,WF08_GAUNTLET,Gauntlets,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_VANGUARD,WF08_GAUNTLET,Gauntlets,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_WARDEN,WF08_GAUNTLET,Gauntlets,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_MYSTIC,WF08_GAUNTLET,Gauntlets,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_EXPEDITION,WF08_GAUNTLET,Gauntlets,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_RESCUE,WF08_GAUNTLET,Gauntlets,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_FORTUNE,WF08_GAUNTLET,Gauntlets,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_TOWERBORN,WF08_GAUNTLET,Gauntlets,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_BOSSBREAKER,WF08_GAUNTLET,Gauntlets,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF08_GAUNTLET_CHRONICLE,WF08_GAUNTLET,Gauntlets,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_BALANCED,WF09_STAFF,Staves,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_VANGUARD,WF09_STAFF,Staves,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_WARDEN,WF09_STAFF,Staves,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_MYSTIC,WF09_STAFF,Staves,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_EXPEDITION,WF09_STAFF,Staves,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_RESCUE,WF09_STAFF,Staves,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_FORTUNE,WF09_STAFF,Staves,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_TOWERBORN,WF09_STAFF,Staves,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_BOSSBREAKER,WF09_STAFF,Staves,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF09_STAFF_CHRONICLE,WF09_STAFF,Staves,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_BALANCED,WF10_CATALYST_FOCUS,Catalysts and Foci,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_VANGUARD,WF10_CATALYST_FOCUS,Catalysts and Foci,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_WARDEN,WF10_CATALYST_FOCUS,Catalysts and Foci,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_MYSTIC,WF10_CATALYST_FOCUS,Catalysts and Foci,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_EXPEDITION,WF10_CATALYST_FOCUS,Catalysts and Foci,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF10_CATALYST_FOCUS_RESCUE,WF10_CATALYST_FOCUS,Catalysts and Foci,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
